# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:21:51 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/333K/multi_west/silcoeffchol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-1.979899999999999993e+00 2.365325813927102061e+01 0.000000000000000000e+00 1.373890971477531586e+00
-1.939699999999999980e+00 0.000000000000000000e+00 inf -inf
-1.899499999999999966e+00 0.000000000000000000e+00 inf -inf
-1.859299999999999953e+00 0.000000000000000000e+00 inf -inf
-1.819099999999999939e+00 0.000000000000000000e+00 inf -inf
-1.778899999999999926e+00 0.000000000000000000e+00 inf -inf
-1.738700000000000134e+00 0.000000000000000000e+00 inf -inf
-1.698500000000000121e+00 0.000000000000000000e+00 inf -inf
-1.658300000000000107e+00 0.000000000000000000e+00 inf -inf
-1.618100000000000094e+00 0.000000000000000000e+00 inf -inf
-1.577900000000000080e+00 0.000000000000000000e+00 inf -inf
-1.537700000000000067e+00 0.000000000000000000e+00 inf -inf
-1.497500000000000053e+00 0.000000000000000000e+00 inf -inf
-1.457300000000000040e+00 0.000000000000000000e+00 inf -inf
-1.417100000000000248e+00 0.000000000000000000e+00 inf -inf
-1.376900000000000235e+00 0.000000000000000000e+00 inf -inf
-1.336700000000000221e+00 0.000000000000000000e+00 inf -inf
-1.296500000000000208e+00 0.000000000000000000e+00 inf -inf
-1.256300000000000194e+00 0.000000000000000000e+00 inf -inf
-1.216100000000000181e+00 0.000000000000000000e+00 inf -inf
-1.175900000000000167e+00 0.000000000000000000e+00 inf -inf
-1.135700000000000154e+00 0.000000000000000000e+00 inf -inf
-1.095500000000000140e+00 0.000000000000000000e+00 inf -inf
-1.055300000000000127e+00 0.000000000000000000e+00 inf -inf
-1.015100000000000113e+00 0.000000000000000000e+00 inf -inf
-9.749000000000000998e-01 0.000000000000000000e+00 inf -inf
-9.347000000000001974e-01 0.000000000000000000e+00 inf -inf
-8.945000000000002949e-01 0.000000000000000000e+00 inf -inf
-8.543000000000002814e-01 0.000000000000000000e+00 inf -inf
-8.141000000000002679e-01 0.000000000000000000e+00 inf -inf
-7.739000000000002544e-01 0.000000000000000000e+00 inf -inf
-7.337000000000002409e-01 0.000000000000000000e+00 inf -inf
-6.935000000000002274e-01 0.000000000000000000e+00 inf -inf
-6.533000000000002139e-01 0.000000000000000000e+00 inf -inf
-6.131000000000002004e-01 0.000000000000000000e+00 inf -inf
-5.729000000000001869e-01 0.000000000000000000e+00 inf -inf
-5.327000000000001734e-01 0.000000000000000000e+00 inf -inf
-4.925000000000002709e-01 0.000000000000000000e+00 inf -inf
-4.523000000000003684e-01 0.000000000000000000e+00 inf -inf
-4.121000000000003549e-01 0.000000000000000000e+00 inf -inf
-3.719000000000003414e-01 0.000000000000000000e+00 inf -inf
-3.317000000000003279e-01 0.000000000000000000e+00 inf -inf
-2.915000000000003144e-01 0.000000000000000000e+00 inf -inf
-2.513000000000003009e-01 0.000000000000000000e+00 inf -inf
-2.111000000000002874e-01 0.000000000000000000e+00 inf -inf
-1.709000000000002739e-01 0.000000000000000000e+00 inf -inf
-1.307000000000002604e-01 0.000000000000000000e+00 inf -inf
-9.050000000000024691e-02 0.000000000000000000e+00 inf -inf
