# created by program: /home/aporutho/Downloads/WESTPA/westpa/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Thu Dec  2 14:31:11 2021
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_2/Analysis/ClusterLipids2Total/DPPC_DIPC_CHOL/323K/1/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.399003638088703094e-01 0.000000000000000000e+00 inf -inf
2.454212705075740630e-01 0.000000000000000000e+00 inf -inf
2.509421772062778722e-01 0.000000000000000000e+00 inf -inf
2.564630839049816258e-01 0.000000000000000000e+00 inf -inf
2.619839906036853794e-01 0.000000000000000000e+00 inf -inf
2.675048973023891330e-01 0.000000000000000000e+00 inf -inf
2.730258040010928866e-01 0.000000000000000000e+00 inf -inf
2.785467106997966957e-01 0.000000000000000000e+00 inf -inf
2.840676173985004493e-01 0.000000000000000000e+00 inf -inf
2.895885240972042030e-01 0.000000000000000000e+00 inf -inf
2.951094307959079566e-01 0.000000000000000000e+00 inf -inf
3.006303374946117102e-01 0.000000000000000000e+00 inf -inf
3.061512441933155193e-01 0.000000000000000000e+00 inf -inf
3.116721508920192729e-01 0.000000000000000000e+00 inf -inf
3.171930575907230265e-01 0.000000000000000000e+00 inf -inf
3.227139642894267801e-01 0.000000000000000000e+00 inf -inf
3.282348709881305893e-01 0.000000000000000000e+00 inf -inf
3.337557776868343429e-01 0.000000000000000000e+00 inf -inf
3.392766843855380965e-01 0.000000000000000000e+00 inf -inf
3.447975910842418501e-01 0.000000000000000000e+00 inf -inf
3.503184977829456037e-01 0.000000000000000000e+00 inf -inf
3.558394044816494128e-01 0.000000000000000000e+00 inf -inf
3.613603111803531664e-01 0.000000000000000000e+00 inf -inf
3.668812178790569201e-01 0.000000000000000000e+00 inf -inf
3.724021245777606737e-01 0.000000000000000000e+00 inf -inf
3.779230312764644828e-01 0.000000000000000000e+00 inf -inf
3.834439379751682364e-01 0.000000000000000000e+00 inf -inf
3.889648446738719900e-01 0.000000000000000000e+00 inf -inf
3.944857513725757436e-01 0.000000000000000000e+00 inf -inf
4.000066580712794972e-01 0.000000000000000000e+00 inf -inf
4.055275647699833064e-01 0.000000000000000000e+00 inf -inf
4.110484714686870600e-01 0.000000000000000000e+00 inf -inf
4.165693781673908136e-01 0.000000000000000000e+00 inf -inf
4.220902848660945672e-01 0.000000000000000000e+00 inf -inf
4.276111915647983763e-01 0.000000000000000000e+00 inf -inf
4.331320982635021299e-01 0.000000000000000000e+00 inf -inf
